"isbn","Price","Sold by","Shipped by","Position","Buybox","Date","Time"
"[1540002349","$21.65","GrandEagleRetail","GrandEagleRetail","","No","2025_07_18","11_56_05"
"[1452180733","$0.00","","","","No","2025_07_18","11_56_08"
"[1452180733","$28.71","World Deals, USA","Amazon.com","","No","2025_07_18","11_56_08"
"[1452180733","$29.10","ShopSpell US","ShopSpell US","","No","2025_07_18","11_56_08"
"[1452180733","$33.33","Bahamut Media","Bahamut Media","","No","2025_07_18","11_56_08"
"[1452180733","$22.45","Green Orbit","Green Orbit","","No","2025_07_18","11_56_08"
"[1452180733","$33.80","PBShop UK","PBShop UK","","No","2025_07_18","11_56_08"
"[1452180733","$37.44","tabletopart","tabletopart","","No","2025_07_18","11_56_08"
"[1452180733","$34.77","RAREWAVES-USA","RAREWAVES-USA","","No","2025_07_18","11_56_08"
"[1452180733","$33.95","URBooksLtd","URBooksLtd","","No","2025_07_18","11_56_08"
"[1452180733","$35.13","Magers & Quinn Booksellers","Magers & Quinn Booksellers","","No","2025_07_18","11_56_08"
"[1452180733","$36.39","RAREWAVES-IMPORTS","RAREWAVES-IMPORTS","","No","2025_07_18","11_56_08"
"[0316496456","$20.03","Amazon.com","Amazon.com","","No","2025_07_18","11_56_10"
"[0316496456","$19.41","ACARTURK TRADE LLC","Amazon.com","","No","2025_07_18","11_56_10"
"[0316496456","$19.42","UC Productions","Amazon.com","","No","2025_07_18","11_56_10"
"[0316496456","$20.02","Neptun Trading","Amazon.com","","No","2025_07_18","11_56_10"
"[0316496456","$20.03","ESK Commerce","Amazon.com","","No","2025_07_18","11_56_10"
"[0316496456","$20.03","Agape Shop LLC","Amazon.com","","No","2025_07_18","11_56_10"
"[0316496456","$20.03","Emin Bookstore","Emin Bookstore","","No","2025_07_18","11_56_10"
"[0316496456","$20.20","Skyvintagerug","Amazon.com","","No","2025_07_18","11_56_10"
"[0316496456","$20.20","Celikbooks","Amazon.com","","No","2025_07_18","11_56_10"
"[0316496456","$24.00","figo place","Amazon.com","","No","2025_07_18","11_56_10"
"[0316496456","$19.63","Global--Store","Global--Store","","No","2025_07_18","11_56_10"
"[1540007103","$0.00","","","","No","2025_07_18","11_56_12"
"[0310444039","$0.00","","","","No","2025_07_18","11_56_15"
"[0316420352","$10.37","TommyBee","TommyBee","","No","2025_07_18","11_56_18"
"[0316420352","$14.99","Meme Gifts","Meme Gifts","","No","2025_07_18","11_56_18"
"[0316420352","$15.53","La Classe USA","La Classe USA","","No","2025_07_18","11_56_18"
"[0316420352","$16.50","Essentialsmerchant","Amazon.com","","No","2025_07_18","11_56_18"
"[0316420352","$16.67","Ucarstore","Amazon.com","","No","2025_07_18","11_56_18"
"[0316420352","$10.49","bookends4956","bookends4956","","No","2025_07_18","11_56_18"
"[0316420352","$17.44","ChampReaders","Amazon.com","","No","2025_07_18","11_56_18"
"[0316420352","$17.44","FindAnyBook","Amazon.com","","No","2025_07_18","11_56_18"
"[0316420352","$17.53","Pen Book","Amazon.com","","No","2025_07_18","11_56_18"
"[0316420352","$18.17","Amazon.com","Amazon.com","","No","2025_07_18","11_56_18"
"[0316420352","$18.90","The Hope Exchange","Amazon.com","","No","2025_07_18","11_56_18"
"[0316440353","$0.00","","","","No","2025_07_18","11_56_20"
"[0316440353","$29.55","Green Orbit","Green Orbit","","No","2025_07_18","11_56_20"
"[0316440353","$46.56","Libup Books!","Libup Books!","","No","2025_07_18","11_56_20"
"[0316440353","$49.20","Books World Aparna, USA","Books World Aparna, USA","","No","2025_07_18","11_56_20"
"[0316440353","$54.86","PBShop UK","PBShop UK","","No","2025_07_18","11_56_20"
"[0316456128","$41.85","Amazon.com","Amazon.com","","No","2025_07_18","11_56_23"
"[0316456128","$35.27","Ambis Enterprises","Ambis Enterprises","","No","2025_07_18","11_56_23"
"[0316456128","$35.29","indoobestsellers","indoobestsellers","","No","2025_07_18","11_56_23"
"[0316456128","$39.68","GrandEagleRetail","GrandEagleRetail","","No","2025_07_18","11_56_23"
"[0316456128","$39.76","webdelicollc","webdelicollc","","No","2025_07_18","11_56_23"
"[0316456128","$37.18","Cyprus City Sales","Cyprus City Sales","","No","2025_07_18","11_56_23"
"[0316456128","$37.18","LadyLakeBooks","LadyLakeBooks","","No","2025_07_18","11_56_23"
"[0316456128","$41.83","Books Unplugged","Books Unplugged","","No","2025_07_18","11_56_23"
"[0316456128","$42.06","California Books US","California Books US","","No","2025_07_18","11_56_23"
"[0316456128","$38.95","World Deals, USA","World Deals, USA","","No","2025_07_18","11_56_23"
"[0316456128","$41.00","SuperBookDeals---","SuperBookDeals---","","No","2025_07_18","11_56_23"
"[1409155811","$0.00","","","","No","2025_07_18","11_56_25"
"[1409155811","$36.17","Bahamut Media","Bahamut Media","","No","2025_07_18","11_56_25"
"[1409155811","$42.73","RAREWAVES-IMPORTS","RAREWAVES-IMPORTS","","No","2025_07_18","11_56_25"
"[1409155811","$39.23","ship_option_#1","ship_option_#1","","No","2025_07_18","11_56_25"
"[1409155811","$46.81","tabletopart","tabletopart","","No","2025_07_18","11_56_25"
"[1409155811","$47.51","agreenhippo1","agreenhippo1","","No","2025_07_18","11_56_25"
"[1409155811","$43.72","booksXpress","booksXpress","","No","2025_07_18","11_56_25"
"[1409155811","$48.82","LuminaryBooks","LuminaryBooks","","No","2025_07_18","11_56_25"
"[0762469331","$21.64","BSRN store","Amazon.com","","No","2025_07_18","11_56_28"
"[0762469331","$17.57","olimpianbooks","olimpianbooks","","No","2025_07_18","11_56_28"
"[0762469331","$17.58","WÖLF","WÖLF","","No","2025_07_18","11_56_28"
"[0762469331","$21.66","Joseph Book Shop","Amazon.com","","No","2025_07_18","11_56_28"
"[0762469331","$16.34","Dr.O","Dr.O","","No","2025_07_18","11_56_28"
"[0762469331","$23.64","ABooksShop","Amazon.com","","No","2025_07_18","11_56_28"
"[0762469331","$32.98","Books Nooks and Crannies","Books Nooks and Crannies","","No","2025_07_18","11_56_28"
"[0762469331","$49.43","Libup Books!","Libup Books!","","No","2025_07_18","11_56_28"
"[1786275716","$0.00","","","","No","2025_07_18","11_56_31"
"[1786275716","$34.99","tabletopart","tabletopart","","No","2025_07_18","11_56_31"
"[1786275716","$36.68","GrandEagleRetail","GrandEagleRetail","","No","2025_07_18","11_56_31"
"[1786275716","$33.43","ShopSpell US","ShopSpell US","","No","2025_07_18","11_56_31"
"[1786275716","$26.00","Green Orbit","Green Orbit","","No","2025_07_18","11_56_31"
"[1786275716","$40.34","BookExcellence","BookExcellence","","No","2025_07_18","11_56_31"
"[1786275716","$40.35","Bahamut Media","Bahamut Media","","No","2025_07_18","11_56_31"
"[1786275716","$42.76","PBShop UK","PBShop UK","","No","2025_07_18","11_56_31"
"[1786275716","$44.03","InfiniteBooks_USA","InfiniteBooks_USA","","No","2025_07_18","11_56_31"
"[1786275716","$44.23","BOOKS etc. _","BOOKS etc. _","","No","2025_07_18","11_56_31"
"[1786275716","$39.95","URBooksLtd","URBooksLtd","","No","2025_07_18","11_56_31"
"[1423654137","$29.44","Amazon.com","Amazon.com","","No","2025_07_18","11_56_34"
"[1423654137","$29.00","Aral Dealz","Amazon.com","","No","2025_07_18","11_56_34"
"[1423654137","$33.40","SuperBookDeals---","SuperBookDeals---","","No","2025_07_18","11_56_34"
"[1423654137","$33.41","Ambis Enterprises","Ambis Enterprises","","No","2025_07_18","11_56_34"
"[1423654137","$33.71","Windflower Bookstore","Windflower Bookstore","","No","2025_07_18","11_56_34"
"[1423654137","$37.71","Publisher Direct","Publisher Direct","","No","2025_07_18","11_56_34"
"[1423654137","$38.02","betterdeals2019","betterdeals2019","","No","2025_07_18","11_56_34"
"[1423654137","$39.25","bargainbookstores-","bargainbookstores-","","No","2025_07_18","11_56_34"
"[1423654137","$39.76","webdelicollc","webdelicollc","","No","2025_07_18","11_56_34"
"[1423654137","$36.94","Windy Books","Windy Books","","No","2025_07_18","11_56_34"
"[1423654137","$36.94","booksXpress","booksXpress","","No","2025_07_18","11_56_34"
"[1540002349","$0.00","","","","No","2025_07_18","11_56_36"
"[1540002349","$22.11","webdelicollc","webdelicollc","","No","2025_07_18","11_56_36"
"[1540002349","$18.43","Anderson Family Library","Anderson Family Library","","No","2025_07_18","11_56_36"
"[1540002349","$23.17","tabletopart","tabletopart","","No","2025_07_18","11_56_36"
"[1540002349","$20.63","RAREWAVES-USA","RAREWAVES-USA","","No","2025_07_18","11_56_36"
"[1540002349","$24.63","InfiniteBooks_USA","InfiniteBooks_USA","","No","2025_07_18","11_56_36"
"[1540002349","$24.66","Books Unplugged","Books Unplugged","","No","2025_07_18","11_56_36"
"[1540002349","$25.29","awesomebooksusa","awesomebooksusa","","No","2025_07_18","11_56_36"
"[1540002349","$19.99","Young's Music Store","Young's Music Store","","No","2025_07_18","11_56_36"
"[1540002349","$21.81","Book & Mortar Record Store","Book & Mortar Record Store","","No","2025_07_18","11_56_36"
"[1540002349","$26.71","PBShop UK","PBShop UK","","No","2025_07_18","11_56_36"
"[1452179816","$31.62","Golookbuy","Amazon.com","","No","2025_07_18","11_56_39"
"[1452179816","$27.62","booksXpress","booksXpress","","No","2025_07_18","11_56_39"
"[1452179816","$27.62","Windy Books","Windy Books","","No","2025_07_18","11_56_39"
"[1452179816","$31.96","CE_BOOKHOUSE","Amazon.com","","No","2025_07_18","11_56_39"
"[1452179816","$29.72","World Deals, USA","World Deals, USA","","No","2025_07_18","11_56_39"
"[1452179816","$37.20","Amazon.com","Amazon.com","","No","2025_07_18","11_56_39"
"[1452179816","$38.91","awesomebooksusa","awesomebooksusa","","No","2025_07_18","11_56_39"
"[1452179816","$40.42","GrandEagleRetail","GrandEagleRetail","","No","2025_07_18","11_56_39"
"[1452179816","$40.44","InfiniteBooks_USA","InfiniteBooks_USA","","No","2025_07_18","11_56_39"
"[1452179816","$40.98","Bahamut Media","Bahamut Media","","No","2025_07_18","11_56_39"
"[1452179816","$41.16","Books Nooks and Crannies","Books Nooks and Crannies","","No","2025_07_18","11_56_39"
"[1452180733","$0.00","","","","No","2025_07_18","11_56_41"
"[1452180733","$35.36","Bahamut Media","Bahamut Media","","No","2025_07_18","11_56_41"
"[1452180733","$36.86","InfiniteBooks_USA","InfiniteBooks_USA","","No","2025_07_18","11_56_41"
"[1452180733","$37.33","Bahamut Media","Bahamut Media","","No","2025_07_18","11_56_41"
"[1452180733","$37.84","awesomebooksusa","awesomebooksusa","","No","2025_07_18","11_56_41"
"[0316496456","$0.00","","","","No","2025_07_18","11_56_44"
"[0316496456","$25.62","MINA GOLDEN STORE","Amazon.com","","No","2025_07_18","11_56_44"
"[0316496456","$21.94","World Deals, USA","World Deals, USA","","No","2025_07_18","11_56_44"
"[0316496456","$26.15","Willows Book Store","Amazon.com","","No","2025_07_18","11_56_44"
"[0316496456","$22.78","indoobestsellers","indoobestsellers","","No","2025_07_18","11_56_44"
"[0316496456","$23.67","booksXpress","booksXpress","","No","2025_07_18","11_56_44"
"[0316496456","$23.67","Windy Books","Windy Books","","No","2025_07_18","11_56_44"
"[0316496456","$29.86","Starbook Store","Amazon.com","","No","2025_07_18","11_56_44"
"[0316496456","$25.88","Ambis Enterprises","Ambis Enterprises","","No","2025_07_18","11_56_44"
"[0316496456","$30.36","bargainbookstores-","bargainbookstores-","","No","2025_07_18","11_56_44"
"[0316496456","$31.63","webdelicollc","webdelicollc","","No","2025_07_18","11_56_44"
"[1540007103","$0.00","","","","No","2025_07_18","11_56_47"
"[130292818X","$997.77","FastShip-CustomerFocus","FastShip-CustomerFocus","","No","2025_07_18","11_56_49"
"[0310444039","$0.00","","","","No","2025_07_18","11_56_52"
"[130292530X","$34.99","Amazon.com","Amazon.com","","No","2025_07_18","11_56_56"
"[130292530X","$23.16","booksXpress","booksXpress","","No","2025_07_18","11_56_56"
"[130292530X","$23.16","Windy Books","Windy Books","","No","2025_07_18","11_56_56"
"[130292530X","$23.75","World Deals, USA","World Deals, USA","","No","2025_07_18","11_56_56"
"[130292530X","$25.47","allnewbooks","allnewbooks","","No","2025_07_18","11_56_56"
"[130292530X","$26.06","SuperBookDeals---","SuperBookDeals---","","No","2025_07_18","11_56_56"
"[130292530X","$30.60","bargainbookstores-","bargainbookstores-","","No","2025_07_18","11_56_56"
"[130292530X","$32.48","tabletopart","tabletopart","","No","2025_07_18","11_56_56"
"[130292530X","$32.71","GrandEagleRetail","GrandEagleRetail","","No","2025_07_18","11_56_56"
"[130292530X","$33.05","RAREWAVES-USA","RAREWAVES-USA","","No","2025_07_18","11_56_56"
"[130292530X","$37.05","PBShop UK","PBShop UK","","No","2025_07_18","11_56_56"
"[0316420352","$0.00","","","","No","2025_07_18","11_56_58"
"[0316420352","$14.95","BOBBYE'S BOOKS","BOBBYE'S BOOKS","","No","2025_07_18","11_56_58"
"[0316420352","$14.99","bookends4956","bookends4956","","No","2025_07_18","11_56_58"
"[0316420352","$16.98","WeBook","WeBook","","No","2025_07_18","11_56_58"
"[0316420352","$29.00","Joshua Creek Services","Joshua Creek Services","","No","2025_07_18","11_56_58"
"[0316420352","$26.39","Windy Books","Windy Books","","No","2025_07_18","11_56_58"
"[0316420352","$26.39","booksXpress","booksXpress","","No","2025_07_18","11_56_58"
"[0316420352","$40.32","Fast Cat Books","Fast Cat Books","","No","2025_07_18","11_56_58"
"[0316440353","$0.00","","","","No","2025_07_18","11_57_00"
"[0316440353","$29.55","Green Orbit","Green Orbit","","No","2025_07_18","11_57_00"
"[0316440353","$46.56","Libup Books!","Libup Books!","","No","2025_07_18","11_57_00"
"[0316440353","$49.20","Books World Aparna, USA","Books World Aparna, USA","","No","2025_07_18","11_57_00"
"[0316440353","$54.86","PBShop UK","PBShop UK","","No","2025_07_18","11_57_00"
"[0316456128","$0.00","","","","No","2025_07_18","11_57_02"
"[0316456128","$47.52","Bahamut Media","Bahamut Media","","No","2025_07_18","11_57_02"
"[0316456128","$47.57","PBShop UK","PBShop UK","","No","2025_07_18","11_57_02"
"[0316456128","$47.68","InfiniteBooks_USA","InfiniteBooks_USA","","No","2025_07_18","11_57_02"
"[0316456128","$48.95","awesomebooksusa","awesomebooksusa","","No","2025_07_18","11_57_02"
"[0316456128","$51.81","RAREWAVES-USA","RAREWAVES-USA","","No","2025_07_18","11_57_02"
"[0316456128","$55.81","Bahamut Media","Bahamut Media","","No","2025_07_18","11_57_02"
"[0316456128","$58.27","CalMaz Books","CalMaz Books","","No","2025_07_18","11_57_02"
"[1409155811","$0.00","","","","No","2025_07_18","11_57_05"
"[1409155811","$36.17","Bahamut Media","Bahamut Media","","No","2025_07_18","11_57_05"
"[1409155811","$42.73","RAREWAVES-IMPORTS","RAREWAVES-IMPORTS","","No","2025_07_18","11_57_05"
"[1409155811","$39.23","ship_option_#1","ship_option_#1","","No","2025_07_18","11_57_05"
"[1409155811","$46.81","tabletopart","tabletopart","","No","2025_07_18","11_57_05"
"[1409155811","$47.51","agreenhippo1","agreenhippo1","","No","2025_07_18","11_57_05"
"[1409155811","$43.72","booksXpress","booksXpress","","No","2025_07_18","11_57_05"
"[1409155811","$48.82","LuminaryBooks","LuminaryBooks","","No","2025_07_18","11_57_05"
"[0762469331","$21.64","BSRN store","Amazon.com","","No","2025_07_18","11_57_07"
"[0762469331","$17.57","olimpianbooks","olimpianbooks","","No","2025_07_18","11_57_07"
"[0762469331","$17.58","WÖLF","WÖLF","","No","2025_07_18","11_57_07"
"[0762469331","$21.66","Joseph Book Shop","Amazon.com","","No","2025_07_18","11_57_07"
"[0762469331","$16.34","Dr.O","Dr.O","","No","2025_07_18","11_57_07"
"[0762469331","$23.64","ABooksShop","Amazon.com","","No","2025_07_18","11_57_07"
"[0762469331","$32.98","Books Nooks and Crannies","Books Nooks and Crannies","","No","2025_07_18","11_57_07"
"[0762469331","$49.43","Libup Books!","Libup Books!","","No","2025_07_18","11_57_07"
"[1786275716","$0.00","","","","No","2025_07_18","11_57_10"
"[1786275716","$41.46","Bahamut Media","Bahamut Media","","No","2025_07_18","11_57_10"
"[1786275716","$45.20","awesomebooksusa","awesomebooksusa","","No","2025_07_18","11_57_10"
"[1786275716","$45.33","Basi6 International","Basi6 International","","No","2025_07_18","11_57_10"
"[1786275716","$43.93","RAREWAVES-USA","RAREWAVES-USA","","No","2025_07_18","11_57_10"
"[1423654137","$0.00","","","","No","2025_07_18","11_57_12"
"[1423654137","$41.06","California Books US","California Books US","","No","2025_07_18","11_57_12"
"[1423654137","$39.82","ShopSpell US","ShopSpell US","","No","2025_07_18","11_57_12"
"[1423654137","$44.39","GrandEagleRetail","GrandEagleRetail","","No","2025_07_18","11_57_12"
"[1423654137","$44.85","BuyWorldwide","BuyWorldwide","","No","2025_07_18","11_57_12"
"[1423654137","$47.57","BookExcellence","BookExcellence","","No","2025_07_18","11_57_12"
"[1423654137","$51.16","InfiniteBooks_USA","InfiniteBooks_USA","","No","2025_07_18","11_57_12"
"[1423654137","$52.52","awesomebooksusa","awesomebooksusa","","No","2025_07_18","11_57_12"
"[1423654137","$50.95","URBooksLtd","URBooksLtd","","No","2025_07_18","11_57_12"
"[1540002349","$0.00","","","","No","2025_07_18","11_57_14"
